 ,Label,Area,Mean,Min,Max
138,D66 RB 0.jpg,560,15.2788,-34.0292,58.3246
139,D66 RB 0.jpg,414,18.6575,-43.9017,53.9197
140,D66 RB 0.jpg,532,17.6135,-45.0894,56.7628
141,D66 RB 0.jpg,218,25.8064,-22.0217,50.7844
142,D66 RB 0.jpg,545,3.5011,-43.6052,53.7608
143,D66 RB 0.jpg,477,18.8697,-40.7151,70.1352
144,D66 RB 0.jpg,463,17.3444,-40.6192,61.7667
145,D66 RB 0.jpg,679,13.7344,-56.4518,63.4108
146,D66 RB 0.jpg,304,5.3102,-26.5295,53.3611
147,D66 RB 0.jpg,270,16.0259,-42.9151,60.5154
148,D66 RB 0.jpg,692,19.8830,-65.5202,66.2655
149,D66 RB 0.jpg,520,7.9980,-35.6016,63.8882
150,D66 RB 0.jpg,291,12.8863,-36.5117,56.1740
151,D66 RB 0.jpg,626,16.0886,-44.3773,59.0327
152,D66 RB 0.jpg,313,14.4825,-51.5828,59.8171
153,D66 RB 0.jpg,466,15.3225,-25.0588,61.4726
154,D66 RB 0.jpg,239,15.6616,-38.1898,50.9579
155,D66 RB 0.jpg,391,9.2009,-28.5518,57.5669
156,D66 RB 0.jpg,466,18.0261,-36.1702,53.7532
157,D66 RB 0.jpg,228,10.8046,-35.7547,57.2671
158,D66 RB 0.jpg,542,10.3558,-43.0444,60.2964
159,D66 RB 0.jpg,629,6.7101,-41.5031,60.0972
160,D66 RB 0.jpg,319,10.1514,-32.9107,61.4809
161,D66 RB 0.jpg,382,16.8513,-34.3818,61.5110
162,D66 RB 0.jpg,568,13.8006,-42.2495,54.1994
163,D66 RB 0.jpg,311,6.6039,-41.8485,55.2767
164,D66 RB 0.jpg,650,10.1382,-39.2778,59.1662
165,D66 RB 0.jpg,350,16.7139,-25.3390,65.8884
166,D66 RB 0.jpg,504,3.6791,-50.1685,44.4458
167,D66 RB 0.jpg,388,18.1816,-29.7767,62.7995
168,D66 RB 0.jpg,685,12.9118,-49.5338,54.5588
169,D66 RB 0.jpg,478,11.5410,-39.3253,56.7678
170,D66 RB 0.jpg,367,19.8385,-43.1482,56.2456
171,D66 RB 0.jpg,549,10.8271,-40.5687,56.5532
172,D66 RB 0.jpg,614,19.9203,-38.4430,62.4649
173,D66 RB 0.jpg,324,17.1191,-41.7994,55.8786
174,D66 RB 0.jpg,445,15.3864,-38.8116,56.0229
175,D66 RB 0.jpg,621,5.3171,-47.0571,41.0217
176,D66 RB 0.jpg,513,17.1326,-51.2037,59.7703
177,D66 RB 0.jpg,405,12.5021,-51.1423,61.0451
178,D66 RB 0.jpg,340,20.0155,-46.1300,56.1917
179,D66 RB 0.jpg,347,15.6924,-39.3437,43.4467
180,D66 RB 0.jpg,896,3.9120,-53.4234,63.5232
181,D66 RB 0.jpg,246,19.4861,-24.5977,51.0565
182,D66 RB 0.jpg,383,22.6725,-39.0664,64.3331
183,D66 RB 0.jpg,418,13.9783,-40.5085,63.8375
184,D66 RB 0.jpg,413,15.2840,-36.0419,60.8574
185,D66 RB 0.jpg,355,17.2880,-41.4015,48.6003
186,D66 RB 0.jpg,406,6.8806,-35.1831,50.0239
187,D66 RB 0.jpg,583,10.3742,-34.6038,59.0581
