 ,Label,Area,Mean,Min,Max
135,D66 RB 0.jpg,572,15.1687,-34.0292,58.3246
136,D66 RB 0.jpg,428,18.2124,-43.9017,53.9197
137,D66 RB 0.jpg,551,17.2148,-45.0894,56.7628
138,D66 RB 0.jpg,223,27.1707,-20.0121,52.3903
139,D66 RB 0.jpg,564,3.5356,-43.6052,53.7608
140,D66 RB 0.jpg,492,18.3377,-40.7151,70.1352
141,D66 RB 0.jpg,483,16.6976,-40.6192,61.7667
142,D66 RB 0.jpg,709,13.3175,-56.4518,63.4108
143,D66 RB 0.jpg,311,5.1715,-26.5295,53.3611
144,D66 RB 0.jpg,722,19.4772,-65.5202,66.2655
145,D66 RB 0.jpg,281,17.7189,-42.9151,61.9436
146,D66 RB 0.jpg,538,7.6605,-35.6016,63.8882
147,D66 RB 0.jpg,301,12.3744,-36.5117,56.1740
148,D66 RB 0.jpg,656,15.9872,-44.3773,59.0327
149,D66 RB 0.jpg,320,14.0721,-51.5828,59.8171
150,D66 RB 0.jpg,474,14.9622,-25.0588,61.4726
151,D66 RB 0.jpg,259,17.6599,-38.1898,63.4758
152,D66 RB 0.jpg,402,8.9070,-28.5518,57.5669
153,D66 RB 0.jpg,488,17.1447,-36.1702,53.7532
154,D66 RB 0.jpg,247,12.3387,-35.7547,64.1963
155,D66 RB 0.jpg,559,9.9756,-43.0444,60.2964
156,D66 RB 0.jpg,647,6.5242,-41.5031,60.0972
157,D66 RB 0.jpg,328,9.7507,-32.9107,61.4809
158,D66 RB 0.jpg,389,16.4848,-34.3818,61.5110
159,D66 RB 0.jpg,578,13.5170,-42.2495,54.1994
160,D66 RB 0.jpg,319,6.7138,-41.8485,55.2767
161,D66 RB 0.jpg,675,10.1353,-39.2778,59.1662
162,D66 RB 0.jpg,361,16.3458,-25.3390,65.8884
163,D66 RB 0.jpg,526,3.4948,-50.1685,44.4458
164,D66 RB 0.jpg,392,17.9773,-29.7767,62.7995
165,D66 RB 0.jpg,492,11.2902,-39.3253,56.7678
166,D66 RB 0.jpg,702,12.7368,-49.5338,54.5588
167,D66 RB 0.jpg,377,19.6141,-43.1482,56.2456
168,D66 RB 0.jpg,643,19.1179,-38.4430,62.4649
169,D66 RB 0.jpg,567,10.4467,-40.5687,56.5532
170,D66 RB 0.jpg,336,17.5793,-41.7994,55.8786
171,D66 RB 0.jpg,456,15.2026,-38.8116,56.0229
172,D66 RB 0.jpg,642,5.2047,-47.0571,41.0217
173,D66 RB 0.jpg,534,16.6185,-51.2037,59.7703
174,D66 RB 0.jpg,449,14.0441,-51.1423,67.2002
175,D66 RB 0.jpg,368,20.0819,-46.1300,56.1917
176,D66 RB 0.jpg,376,15.0796,-39.3437,43.4467
177,D66 RB 0.jpg,924,4.0201,-53.4234,63.5232
178,D66 RB 0.jpg,258,19.8364,-24.5977,56.0817
179,D66 RB 0.jpg,397,22.0378,-39.0664,64.3331
180,D66 RB 0.jpg,427,13.6671,-40.5085,63.8375
181,D66 RB 0.jpg,425,15.0167,-36.0419,60.8574
182,D66 RB 0.jpg,371,16.3342,-41.4015,48.6003
183,D66 RB 0.jpg,417,6.5408,-35.1831,50.0239
184,D66 RB 0.jpg,600,10.1257,-34.6038,59.0581
185,D66 RB 0.jpg,232,16.1764,-22.9842,43.2391
186,D66 RB 0.jpg,209,18.9700,-22.6646,60.6497
187,D66 RB 0.jpg,550,15.2972,-35.3273,61.3176
188,D66 RB 0.jpg,535,4.7234,-34.4485,56.5039
189,D66 RB 0.jpg,523,5.7453,-41.8268,53.3237
190,D66 RB 0.jpg,361,16.7417,-32.0131,56.8630
191,D66 RB 0.jpg,504,16.4208,-49.8342,70.7741
192,D66 RB 0.jpg,199,8.9459,-52.9659,64.4731
